#DateTime Holiday HolidayFlag DayOfWeek WeekOfYear Day Month Year PeriodOfDay ForecastWindProduction SystemLoadEA SMPEA ORKTemperature ORKWindspeed CO2Intensity ActualWindProduction SystemLoadEP2 SMPEP2
"tue 1/11/2011 19:30" "" 0 1 44 1 11 2011 39 1438.24 5401.07   56.25   12.00   37.00  457.03 1279.00 4676.06   54.14
"tue 1/11/2011 20:00" "" 0 1 44 1 11 2011 40 1464.71 5182.14   49.66   12.00   37.00  457.09 1278.00 4520.71   54.74
"tue 1/11/2011 20:30" "" 0 1 44 1 11 2011 41 1480.69 5004.20   49.66   12.00   38.90  462.62 1247.00 4403.16   54.74
"tue 1/11/2011 21:00" "" 0 1 44 1 11 2011 42 1494.24 4876.12   46.25   12.00   38.90  445.23 1250.00 4225.18   53.63
"tue 1/11/2011 21:30" "" 0 1 44 1 11 2011 43 1505.40 4622.80   46.25   12.00   42.60  463.86 1246.00 4000.62   54.74
"tue 1/11/2011 22:00" "" 0 1 44 1 11 2011 44 1514.68 4417.01   46.25   12.00   44.40  457.84 1281.00 3757.52   53.00
"tue 1/11/2011 22:30" "" 0 1 44 1 11 2011 45 1522.58 4174.11   45.14   12.00   51.90  409.03 1325.00 3536.95   53.00
"tue 1/11/2011 23:00" "" 0 1 44 1 11 2011 46 1293.30 3974.23   45.14   12.00   48.20  381.35 1391.00 3425.87   51.61
"tue 1/11/2011 23:30" "" 0 1 44 1 11 2011 47 1300.10 3844.51   44.90   12.00   48.20  374.14 1374.00 3192.47   51.61
"wed 2/11/2011 00:00" "" 0 2 44 2 11 2011 0 1305.10 3591.85   44.47   12.00   46.30  357.17 1357.00 2936.40   51.45
"wed 2/11/2011 00:30" "" 0 2 44 2 11 2011 1 1307.60 3366.83   44.47   12.00   48.20  341.24 1264.00 2757.26   36.53
"wed 2/11/2011 01:00" "" 0 2 44 2 11 2011 2 1309.90 3197.92   44.31   12.00   48.20  354.87 1116.00 2645.58   36.53
"wed 2/11/2011 01:30" "" 0 2 44 2 11 2011 3 1310.80 3091.68   30.87   12.00   50.00  371.32  998.00 2546.50   36.53
"wed 2/11/2011 02:00" "" 0 2 44 2 11 2011 4 1311.20 2978.13   30.87   12.00   42.60  387.30  886.00 2465.26    5.66
"wed 2/11/2011 02:30" "" 0 2 44 2 11 2011 5 1308.90 2928.29   30.87   12.00   50.00  400.07  816.00 2419.12    5.66
"wed 2/11/2011 03:00" "" 0 2 44 2 11 2011 6 1306.00 2864.87   30.87   12.00   50.00  411.80  747.00 2416.97    5.66
"wed 2/11/2011 03:30" "" 0 2 44 2 11 2011 7 1301.40 2837.06   30.87   12.00   44.40  417.81  751.00 2419.49    5.66
"wed 2/11/2011 04:00" "" 0 2 44 2 11 2011 8 1298.00 2826.59   30.87   12.00   50.00  416.04  765.00 2431.44    5.66
"wed 2/11/2011 04:30" "" 0 2 44 2 11 2011 9 1294.80 2823.85   30.87   12.00   48.20  418.83  735.00 2425.62    5.66
"wed 2/11/2011 05:00" "" 0 2 44 2 11 2011 10 1292.30 2878.57   30.87   12.00   50.00  419.19  751.00 2476.72   36.53
"wed 2/11/2011 05:30" "" 0 2 44 2 11 2011 11 1290.10 2947.63   30.87   12.00   51.90  425.83  709.00 2515.88   36.53
"wed 2/11/2011 06:00" "" 0 2 44 2 11 2011 12 1289.60 3118.35   29.96   12.00   51.90  413.33  760.00 2658.52   29.95
"wed 2/11/2011 06:30" "" 0 2 44 2 11 2011 13 1289.60 3403.57   44.31   12.00   50.00  380.44  934.00 2883.79   42.80
"wed 2/11/2011 07:00" "" 0 2 44 2 11 2011 14 1287.30 3827.88   46.58   12.00   53.70  375.18 1078.00 3251.61   44.30
"wed 2/11/2011 07:30" "" 0 2 44 2 11 2011 15 1286.00 4271.47   52.59   12.00   55.60  404.33 1143.00 3454.44   44.30
"wed 2/11/2011 08:00" "" 0 2 44 2 11 2011 16 1284.10 4515.13   55.61   12.00   51.90  425.09 1150.00 3713.34   50.60
"wed 2/11/2011 08:30" "" 0 2 44 2 11 2011 17 1282.70 4615.31   55.04   12.00   48.20  431.74 1251.00 3920.53   48.80
"wed 2/11/2011 09:00" "" 0 2 44 2 11 2011 18 1281.00 4707.88   55.04   13.00   50.00  456.66 1293.00 4132.04   50.65
"wed 2/11/2011 09:30" "" 0 2 44 2 11 2011 19 1280.20 4820.55   55.57     NaN     NaN  463.72 1294.00 4213.87   53.28
"wed 2/11/2011 10:00" "" 0 2 44 2 11 2011 20 1279.60 4858.55   55.57   13.00   53.70  468.93 1259.00 4259.69   53.90
"wed 2/11/2011 10:30" "" 0 2 44 2 11 2011 21 1278.20 4885.14   55.57     NaN     NaN  466.15 1317.00 4323.18   54.36
"wed 2/11/2011 11:00" "" 0 2 44 2 11 2011 22 1276.70 4916.00   55.53   12.00   51.90  465.39 1316.00 4393.66   55.74
"wed 2/11/2011 11:30" "" 0 2 44 2 11 2011 23 1274.70 4926.02   56.04   13.00   51.90  468.40 1304.00 4423.09   56.76
"wed 2/11/2011 12:00" "" 0 2 44 2 11 2011 24 1272.20 4979.75   68.62   13.00   48.20  459.46 1326.00 4488.02   57.54
"wed 2/11/2011 12:30" "" 0 2 44 2 11 2011 25 1268.70 5021.31   68.61   13.00   44.40  455.10 1364.00 4520.37   58.18
"wed 2/11/2011 13:00" "" 0 2 44 2 11 2011 26 1265.90 5012.99   68.61   13.00   44.40  455.02 1356.00 4465.23   56.39
"wed 2/11/2011 13:30" "" 0 2 44 2 11 2011 27 1263.80 4940.50   68.60   13.00   48.20  453.15 1373.00 4396.55   54.81
"wed 2/11/2011 14:00" "" 0 2 44 2 11 2011 28 1264.00 4950.29   68.60   12.00   44.40  457.66 1353.00 4431.86   55.09
"wed 2/11/2011 14:30" "" 0 2 44 2 11 2011 29 1268.30 4981.91   68.60   13.00   50.00  459.48 1340.00 4454.54   56.72
"wed 2/11/2011 15:00" "" 0 2 44 2 11 2011 30 1267.60 5000.96   68.60   12.00   51.90  453.33 1323.00 4492.34   57.68
"wed 2/11/2011 15:30" "" 0 2 44 2 11 2011 31 1251.70 5018.97   68.59   13.00   46.30  448.18 1322.00 4549.44   57.99
"wed 2/11/2011 16:00" "" 0 2 44 2 11 2011 32 1235.10 5156.49   78.20   13.00   50.00  433.72 1398.00 4659.24   69.95
"wed 2/11/2011 16:30" "" 0 2 44 2 11 2011 33 1216.90 5455.41   82.02   13.00   46.30  439.11 1378.00 4924.02   76.57
"wed 2/11/2011 17:00" "" 0 2 44 2 11 2011 34 1391.81 5695.26  108.59   13.00   42.60  441.09 1394.00 5216.66  245.87
"wed 2/11/2011 17:30" "" 0 2 44 2 11 2011 35 1390.12 5971.94  156.78   13.00   37.00  430.96 1389.00 5312.16  251.01
"wed 2/11/2011 18:00" "" 0 2 44 2 11 2011 36 1387.98 5946.36  156.78   13.00   42.60  429.17 1412.00 5205.09   94.55
"wed 2/11/2011 18:30" "" 0 2 44 2 11 2011 37 1385.12 5771.51  128.16   13.00   40.70  440.82 1377.00 5052.31   86.17
"wed 2/11/2011 19:00" "" 0 2 44 2 11 2011 38 1381.62 5580.80  103.81   13.00   42.60  439.20 1367.00 4930.86   76.24
"wed 2/11/2011 19:30" "" 0 2 44 2 11 2011 39 1377.47 5446.87   74.99   13.00   42.60  439.45 1338.00 4788.65   72.92
"wed 2/11/2011 20:00" "" 0 2 44 2 11 2011 40 1372.65 5228.61   71.42   13.00   40.70  436.44 1328.00 4621.20   58.61
"wed 2/11/2011 20:30" "" 0 2 44 2 11 2011 41 1359.83 5073.67   58.33   13.00   38.90  426.10 1340.00 4499.07   55.93
"wed 2/11/2011 21:00" "" 0 2 44 2 11 2011 42 1345.88 4958.04   58.33   13.00   38.90  410.56 1356.00 4345.07   53.60
"wed 2/11/2011 21:30" "" 0 2 44 2 11 2011 43 1330.42 4741.71   55.51   12.00   33.30  396.23 1342.00 4178.42   50.33
"wed 2/11/2011 22:00" "" 0 2 44 2 11 2011 44 1313.28 4528.98   54.93   12.00   29.60  404.72 1351.00 3964.79   48.80
"wed 2/11/2011 22:30" "" 0 2 44 2 11 2011 45 1294.48 4236.24   54.65   12.00   29.60  405.89 1315.00 3751.52   48.36
"wed 2/11/2011 23:00" "" 0 2 44 2 11 2011 46 1273.91 4100.56   54.93   12.00   33.30  395.18 1310.00 3664.19   48.36
"wed 2/11/2011 23:30" "" 0 2 44 2 11 2011 47 1245.68 3957.31   54.65   12.00   33.30  385.27 1270.00 3465.06   48.36
